timestamp,cycle,temperature,pressure,level,flow,heater_on,pump_on,valve_position,safety_status
2026-08-21 16:10:20,1,150.0,5.0,70.0,35.0,True,True,45.0,NORMAL
2026-08-21 16:10:21,2,148.79,4.89,70.18,35.92,True,True,40.0,NORMAL
2026-08-21 16:10:22,3,147.62,4.74,70.35,36.59,True,True,35.0,NORMAL
2026-08-21 16:10:23,4,146.65,4.63,70.52,36.72,True,True,30.0,NORMAL
2026-08-21 16:10:24,5,145.69,4.52,70.76,36.93,True,True,25.0,NORMAL
2026-08-21 16:10:25,6,144.73,4.42,70.92,36.72,True,True,20.0,NORMAL
2026-08-21 16:10:26,7,143.83,4.34,71.14,36.57,True,True,20.0,NORMAL
2026-08-21 16:10:28,8,142.97,4.23,71.39,36.44,True,True,20.0,NORMAL
2026-08-21 16:10:29,9,141.93,4.13,71.58,35.86,True,True,20.0,NORMAL
2026-08-21 16:10:30,10,141.03,4.07,71.81,35.84,True,True,20.0,NORMAL
2026-08-21 16:10:31,11,140.15,4.0,72.02,35.73,True,True,20.0,NORMAL
2026-08-21 16:10:32,12,139.25,3.94,72.27,35.16,True,True,20.0,NORMAL
2026-08-21 16:10:33,13,138.2,3.88,72.45,35.0,True,True,20.0,NORMAL
2026-08-21 16:10:34,14,137.18,3.81,72.66,34.91,True,True,20.0,NORMAL
2026-08-21 16:10:35,15,136.18,3.74,72.88,34.97,True,True,20.0,NORMAL
2026-08-21 16:10:36,16,135.24,3.7,73.1,34.98,True,True,20.0,NORMAL
2026-08-21 16:10:37,17,134.28,3.63,73.3,34.88,True,True,20.0,NORMAL
2026-08-21 16:10:38,18,133.32,3.58,73.53,34.72,True,True,20.0,NORMAL
2026-08-21 16:10:40,19,132.48,3.49,73.72,34.63,True,True,20.0,NORMAL
2026-08-21 16:10:41,20,131.61,3.42,73.99,34.51,True,True,20.0,NORMAL
2026-08-21 16:10:42,21,130.74,3.38,74.19,34.31,True,True,20.0,NORMAL
2026-08-21 16:10:43,22,129.82,3.33,74.45,34.02,True,True,20.0,NORMAL
2026-08-21 16:10:44,23,129.01,3.29,74.63,33.94,True,True,20.0,NORMAL
2026-08-21 16:10:45,24,128.35,3.21,74.89,33.79,True,True,20.0,NORMAL
2026-08-21 16:10:46,25,127.64,3.18,75.13,33.39,True,True,20.0,NORMAL
2026-08-21 16:10:47,26,126.82,3.14,75.36,33.15,True,True,20.0,NORMAL
2026-08-21 16:10:48,27,125.98,3.1,75.56,32.91,True,True,20.0,NORMAL
2026-08-21 16:10:49,28,125.23,3.03,75.78,33.07,True,True,20.0,NORMAL
2026-08-21 16:10:50,29,124.6,3.01,76.05,32.8,True,True,20.0,NORMAL
2026-08-21 16:10:52,30,123.93,2.95,76.26,32.81,True,True,20.0,NORMAL
2026-08-21 16:10:53,31,123.24,2.9,76.52,32.62,True,True,20.0,NORMAL
2026-08-21 16:10:54,32,122.63,2.88,76.77,32.46,True,True,20.0,NORMAL
2026-08-21 16:10:55,33,122.05,2.83,77.03,32.49,True,True,20.0,NORMAL
2026-08-21 16:10:56,34,121.47,2.81,77.28,32.37,True,True,20.0,NORMAL
2026-08-21 16:10:57,35,120.82,2.74,77.57,32.5,True,True,20.0,NORMAL
2026-08-21 16:10:58,36,120.14,2.68,77.79,32.61,True,True,20.0,NORMAL
2026-08-21 16:10:59,37,119.5,2.64,78.05,32.34,True,True,20.0,NORMAL
2026-08-21 16:11:00,38,118.74,2.61,78.28,32.51,True,True,20.0,NORMAL
2026-08-21 16:11:01,39,118.11,2.58,78.51,32.63,True,True,20.0,NORMAL
2026-08-21 16:11:02,40,117.52,2.55,78.72,32.58,True,True,20.0,NORMAL
2026-08-21 16:11:04,41,116.86,2.48,79.01,32.34,True,True,20.0,NORMAL
2026-08-21 16:11:05,42,116.38,2.46,79.22,32.31,True,True,20.0,NORMAL
2026-08-21 16:11:06,43,115.91,2.43,79.47,32.4,True,True,20.0,NORMAL
2026-08-21 16:11:07,44,115.47,2.39,79.67,32.49,True,True,20.0,NORMAL
2026-08-21 16:11:08,45,114.94,2.35,79.89,32.68,True,True,20.0,NORMAL
2026-08-21 16:11:09,46,114.39,2.32,80.17,32.56,True,True,20.0,NORMAL
2026-08-21 16:11:10,47,113.83,2.3,80.43,32.73,True,True,20.0,NORMAL
2026-08-21 16:11:11,48,113.42,2.24,80.69,32.55,True,True,20.0,NORMAL
2026-08-21 16:11:12,49,112.87,2.2,80.99,32.8,True,True,20.0,NORMAL
2026-08-21 16:11:13,50,112.22,2.16,81.26,32.72,True,True,20.0,NORMAL
2026-08-21 16:11:14,51,111.85,2.12,81.53,32.47,True,True,20.0,NORMAL
2026-08-21 16:11:16,52,111.22,2.08,81.8,32.41,True,True,20.0,NORMAL
2026-08-21 16:11:17,53,110.77,2.03,82.05,32.19,True,True,20.0,NORMAL
2026-08-21 16:11:18,54,110.34,2.01,82.35,32.43,True,True,20.0,NORMAL
2026-08-21 16:11:19,55,109.74,1.96,82.59,32.23,True,True,20.0,NORMAL
2026-08-21 16:11:20,56,109.24,1.96,82.8,32.42,True,True,20.0,NORMAL
2026-08-21 16:11:21,57,108.64,1.95,83.08,32.46,True,True,20.0,NORMAL
2026-08-21 16:11:22,58,108.23,1.91,83.37,32.3,True,True,20.0,NORMAL
2026-08-21 16:11:23,59,107.81,1.92,83.61,32.0,True,True,20.0,NORMAL
2026-08-21 16:11:24,60,107.5,1.89,83.89,32.22,True,True,20.0,NORMAL
2026-08-21 16:11:25,61,107.2,1.85,84.15,31.93,True,True,20.0,NORMAL
2026-08-21 16:11:26,62,106.78,1.8,84.39,31.95,True,True,20.0,NORMAL
2026-08-21 16:11:27,63,106.46,1.77,84.66,31.82,True,True,20.0,NORMAL
2026-08-21 16:11:29,64,106.06,1.75,84.94,31.63,True,True,20.0,NORMAL
2026-08-21 16:11:30,65,105.71,1.7,85.22,31.75,True,False,20.0,NORMAL
2026-08-21 16:11:31,66,105.42,1.69,85.11,29.58,True,False,20.0,NORMAL
2026-08-21 16:11:32,67,104.99,1.66,85.05,27.29,True,False,20.0,NORMAL
2026-08-21 16:11:33,68,104.67,1.65,84.95,25.42,True,False,20.0,NORMAL
2026-08-21 16:11:34,69,104.4,1.63,84.85,23.81,True,False,20.0,NORMAL
2026-08-21 16:11:35,70,104.08,1.61,84.75,22.05,True,False,20.0,NORMAL
2026-08-21 16:11:36,71,103.77,1.59,84.67,20.7,True,False,20.0,NORMAL
2026-08-21 16:11:37,72,103.25,1.56,84.6,19.09,True,False,20.0,NORMAL
2026-08-21 16:11:38,73,102.85,1.52,84.53,18.01,True,False,20.0,NORMAL
2026-08-21 16:11:39,74,102.45,1.51,84.4,16.74,True,False,20.0,NORMAL
2026-08-21 16:11:40,75,101.96,1.52,84.3,15.85,True,False,20.0,NORMAL
2026-08-21 16:11:42,76,101.55,1.48,84.18,14.99,True,True,20.0,NORMAL
2026-08-21 16:11:43,77,101.1,1.44,84.41,16.21,True,True,20.0,NORMAL
2026-08-21 16:11:44,78,100.89,1.45,84.62,17.48,True,True,20.0,NORMAL
2026-08-21 16:11:45,79,100.45,1.43,84.91,18.65,True,True,20.0,NORMAL
2026-08-21 16:11:46,80,100.16,1.43,85.19,19.61,True,False,20.0,NORMAL
2026-08-21 16:11:47,81,99.95,1.44,85.05,18.56,True,False,20.0,NORMAL
2026-08-21 16:11:48,82,99.58,1.41,84.93,17.62,True,False,20.0,NORMAL
2026-08-21 16:11:49,83,99.11,1.41,84.85,16.67,True,False,20.0,NORMAL
2026-08-21 16:11:50,84,98.76,1.37,84.7,15.51,True,False,20.0,NORMAL
2026-08-21 16:11:51,85,98.39,1.37,84.61,14.78,True,True,20.0,NORMAL
2026-08-21 16:11:52,86,98.0,1.36,84.86,16.06,True,True,20.0,NORMAL
2026-08-21 16:11:54,87,97.85,1.34,85.09,17.17,True,False,20.0,NORMAL
2026-08-21 16:11:55,88,97.5,1.29,85.04,16.07,True,False,20.0,NORMAL
2026-08-21 16:11:56,89,97.19,1.3,84.97,14.79,True,True,20.0,NORMAL
2026-08-21 16:11:57,90,96.76,1.26,85.21,16.4,True,False,20.0,NORMAL
2026-08-21 16:11:58,91,96.59,1.24,85.13,15.64,True,False,20.0,NORMAL
2026-08-21 16:11:59,92,96.26,1.23,84.99,14.77,True,True,20.0,NORMAL
2026-08-21 16:12:00,93,96.13,1.22,85.28,16.27,True,False,20.0,NORMAL
2026-08-21 16:12:01,94,95.81,1.18,85.19,15.24,True,False,20.0,NORMAL
2026-08-21 16:12:02,95,95.62,1.17,85.05,14.31,True,True,20.0,NORMAL
2026-08-21 16:12:03,96,95.28,1.17,85.27,15.48,True,False,20.0,NORMAL
2026-08-21 16:12:04,97,94.99,1.15,85.19,14.47,True,True,20.0,NORMAL
2026-08-21 16:12:05,98,94.88,1.14,85.46,16.14,True,False,20.0,NORMAL
